"","port_inst_dat.REGION","port_inst_dat.COSTT4_A","value","fact_tuition"
"575",1,67592,993.057104227029,"$66,200-$81,530"
"576",1,63194,2229.79084859579,"50,800-$65,000"
"577",1,52626,899.047536488527,"50,800-$65,000"
"578",1,13668,174.868661050307,"$4,600-$20,000"
"579",1,25602,861.1751215189,"$20,000-$35,400"
"581",1,76698,1978.42073624484,"$66,200-$81,530"
"582",1,13944,895.975805764401,"$4,600-$20,000"
"584",1,78735,1849.56448036829,"$66,200-$81,530"
"585",1,21432,1889.56510628994,"$20,000-$35,400"
"586",1,79320,925.346073005904,"$66,200-$81,530"
"589",2,13504,765.494052625541,"$4,600-$20,000"
"590",2,22912,295.130179479148,"$20,000-$35,400"
"591",2,26131,802.373961254236,"$20,000-$35,400"
"592",2,34787,2313.19591886813,"$20,000-$35,400"
"594",2,18455,1190.17814533808,"$4,600-$20,000"
"595",2,56065,1082.1753074884,"50,800-$65,000"
"596",2,67366,82.6289546083318,"$66,200-$81,530"
"597",2,22626,1317.62474429325,"$20,000-$35,400"
"599",2,39166,562.687745954952,"$35,400-$50,700"
"600",2,62835,844.745357072582,"50,800-$65,000"
"601",2,59760,1987.94856055693,"50,800-$65,000"
"602",2,49250,1766.48691993122,"$35,400-$50,700"
"604",2,35704,91.0139541392624,"$35,400-$50,700"
"605",2,32102,309.141554794166,"$20,000-$35,400"
"608",5,19623,1397.76098044092,"$4,600-$20,000"
"609",5,41754,1043.52705038008,"$35,400-$50,700"
"610",5,23794,608.239617449874,"$20,000-$35,400"
"611",5,57262,901.656865730183,"50,800-$65,000"
"613",5,10279,373.998631281157,"$4,600-$20,000"
"614",5,22039,1132.98636425888,"$20,000-$35,400"
"615",5,34121,1065.82005909463,"$20,000-$35,400"
"616",5,14543,1756.15619282031,"$4,600-$20,000"
"617",5,26222,1186.96885259306,"$20,000-$35,400"
"618",5,21605,659.377441909707,"$20,000-$35,400"
"619",5,15970,7.25594552043288,"$4,600-$20,000"
"620",5,9152,1282.77944360777,"$4,600-$20,000"
"622",5,12982,752.7608703004,"$4,600-$20,000"
"623",5,23107,71.7472204858833,"$20,000-$35,400"
"624",5,64688,45.52237972838,"50,800-$65,000"
"625",5,14237,347.851269506994,"$4,600-$20,000"
"626",5,26527,337.880840632943,"$20,000-$35,400"
"627",5,56196,493.301826131359,"50,800-$65,000"
"628",5,23895,438.257029577057,"$20,000-$35,400"
"629",5,19375,1546.98952931758,"$4,600-$20,000"
"630",5,9059,2398.69001383498,"$4,600-$20,000"
"631",5,36055,467.982816985063,"$35,400-$50,700"
"632",5,30702,802.543479306032,"$20,000-$35,400"
"636",5,32572,54.0174150511765,"$20,000-$35,400"
"637",5,58177,1061.66982950444,"50,800-$65,000"
"639",5,19479,167.82569495961,"$4,600-$20,000"
"640",5,18973,918.230431360943,"$4,600-$20,000"
"641",5,30246,549.237713090197,"$20,000-$35,400"
"644",5,54324,545.53840667159,"50,800-$65,000"
"645",5,22906,3.02599329937625,"$20,000-$35,400"
"646",5,21295,191.030014509949,"$20,000-$35,400"
"648",5,37984,1701.53813277533,"$35,400-$50,700"
"651",5,11447,3645.60192109179,"$4,600-$20,000"
"652",5,15306,1665.88360144352,"$4,600-$20,000"
"653",5,9076,22.3505795233596,"$4,600-$20,000"
"654",5,15725,548.192079785551,"$4,600-$20,000"
"657",5,10415,292.222036003387,"$4,600-$20,000"
"659",5,35407,1474.10226245673,"$35,400-$50,700"
"660",5,56108,395.126335534653,"50,800-$65,000"
"661",5,41424,954.600226995343,"$35,400-$50,700"
"663",5,9378,702.900759208303,"$4,600-$20,000"
"665",5,10594,1157.79961483279,"$4,600-$20,000"
"670",5,9680,1909.85417994415,"$4,600-$20,000"
"671",5,18075,567.053672480727,"$4,600-$20,000"
"673",5,10147,795.600750260002,"$4,600-$20,000"
"677",5,10633,133.75106856774,"$4,600-$20,000"
"678",5,69206,1237.96245581426,"$66,200-$81,530"
"681",5,9363,429.726361371182,"$4,600-$20,000"
"682",5,16874,773.551481779624,"$4,600-$20,000"
"683",5,50279,247.921170939564,"$35,400-$50,700"
"684",5,11900,744.544627532803,"$4,600-$20,000"
"686",5,51321,834.236079278953,"50,800-$65,000"
"687",5,15771,1043.25114219855,"$4,600-$20,000"
"688",5,10891,2007.68083124502,"$4,600-$20,000"
"689",5,9542,626.148703309359,"$4,600-$20,000"
"691",5,13717,1075.77917204612,"$4,600-$20,000"
"694",5,27493,609.385089819272,"$20,000-$35,400"
"695",5,68123,1178.18525794514,"$66,200-$81,530"
"697",5,67946,878.779114443075,"$66,200-$81,530"
"699",5,38889,3149.95874930779,"$35,400-$50,700"
"700",5,11633,14.3141419930997,"$4,600-$20,000"
"702",5,13677,582.834170491244,"$4,600-$20,000"
"704",5,9326,6.83269744109005,"$4,600-$20,000"
"707",5,11576,941.334740533322,"$4,600-$20,000"
"708",5,10123,1485.09382480505,"$4,600-$20,000"
"709",5,21248,194.665006561257,"$20,000-$35,400"
"710",5,50484,159.235258261474,"$35,400-$50,700"
"711",5,62841,758.102606675581,"50,800-$65,000"
"712",5,40990,2219.01387326917,"$35,400-$50,700"
"715",5,9393,958.633673034034,"$4,600-$20,000"
"716",5,26650,86.8705867161,"$20,000-$35,400"
"717",5,27243,500.77722153288,"$20,000-$35,400"
"718",5,48220,193.420497052827,"$35,400-$50,700"
"721",5,23379,348.243581386109,"$20,000-$35,400"
"722",5,25813,690.96649762242,"$20,000-$35,400"
"723",5,20467,1636.44650762375,"$20,000-$35,400"
"724",5,35708,160.797752929771,"$35,400-$50,700"
"726",5,44152,1802.33763331403,"$35,400-$50,700"
"727",5,24207,117.076082726177,"$20,000-$35,400"
"728",5,18622,798.944230087256,"$4,600-$20,000"
"733",5,13223,527.859226598384,"$4,600-$20,000"
"734",5,46602,2.69555753380281,"$35,400-$50,700"
"735",5,19032,116.044012100528,"$4,600-$20,000"
"736",5,20092,1383.31713515196,"$20,000-$35,400"
"737",5,15950,1106.86902952195,"$4,600-$20,000"
"738",5,20538,490.433714685053,"$20,000-$35,400"
"739",5,36954,44.4288194119979,"$35,400-$50,700"
"740",5,38844,530.389636838712,"$35,400-$50,700"
"742",5,9344,1147.9287812334,"$4,600-$20,000"
"743",5,33344,719.948972058155,"$20,000-$35,400"
