"","CREDDESC","EARN_MALE_WNE_MDN_1YR","EARN_NOMALE_WNE_MDN_1YR","EARN_MALE_WNE_MDN_4YR","EARN_NOMALE_WNE_MDN_4YR"
"8548","Bachelor's Degree",75024,70409,86317,76216
"8549","Master's Degree",111848,104342,129739,113925
"8550","Bachelor's Degree",30224,28031,50888,47207
"8551","Bachelor's Degree",35789,24801,48797,37407
"8552","Master's Degree",90113,49349,76340,69854
"8553","Bachelor's Degree",54240,42352,69285,53759
"8554","Bachelor's Degree",42491,33057,48797,55144
"8555","Bachelor's Degree",44532,30534,59338,48282
"8556","First Professional Degree",90994,94197,122460,103190
"8557","Bachelor's Degree",39785,34119,62947,57124
"8558","Bachelor's Degree",39964,38431,59764,61619
"8559","Bachelor's Degree",36225,40274,57672,54283
"8560","Bachelor's Degree",61997,67663,72336,72887
"8561","Bachelor's Degree",76615,84655,103567,122074
"8562","Bachelor's Degree",68745,69133,82342,80530
"8563","Master's Degree",71360,71608,82936,86241
"8564","Bachelor's Degree",76394,80345,100092,86428
"8565","Bachelor's Degree",74128,77043,86641,87111
"8566","Bachelor's Degree",69633,74067,85962,90172
"8567","Bachelor's Degree",73907,73111,91264,87078
"8568","First Professional Degree",73521,66956,87109,79866
"8569","Bachelor's Degree",29754,32519,42567,47214
"8570","Bachelor's Degree",28399,24796,55204,50513
"8571","Bachelor's Degree",32458,25194,40069,35540
"8572","Bachelor's Degree",41065,35423,62006,49876
"8573","Bachelor's Degree",47639,46081,56951,50217
"8574","Bachelor's Degree",31973,27891,51913,46732
"8575","Bachelor's Degree",35188,30702,56992,58832
"8576","Master's Degree",51596,43262,61652,48991
"8577","Bachelor's Degree",37247,28004,53355,47027
"8578","Master's Degree",62516,52877,73111,66404
"8579","Master's Degree",56811,59648,70777,87504
